TimeOn,TimeOff,StationNr,Alarmcode
2024-04-19 23:27:57,,2304515,25
2024-04-19 23:27:38,,2304521,25
2024-04-19 23:27:44,,2304516,25
2024-04-19 23:27:54,,2304524,25
2024-04-19 23:28:09,,2304523,20
2024-04-19 23:28:37,,2304521,20
2024-04-19 23:28:46,,2304524,20
2024-04-19 23:29:09,,2304523,25
2024-04-19 23:29:30,,2304524,25
2024-04-19 23:30:20,,2304524,20
2024-04-19 23:30:53,,2304524,25
2024-04-19 23:32:43,,2304520,25
2024-04-19 23:37:35,,2304521,25
2024-04-19 23:39:57,,2304522,25
2024-04-19 23:44:00,,2304525,25
2024-04-19 23:44:31,2024-04-19 23:47:55,2304524,3130
2024-04-19 23:44:31,,2304524,115
2024-04-19 23:44:55,,2304525,20
2024-04-19 23:45:15,,2304524,168
2024-04-19 23:45:53,,2304524,173
2024-04-19 23:47:26,,2304521,20
2024-04-19 23:47:19,,2304524,111
2024-04-19 23:47:30,,2304524,111
2024-04-19 23:47:41,,2304524,111
2024-04-19 23:47:55,,2304524,115
2024-04-19 23:50:02,,2304515,20
2024-04-19 23:50:09,,2304524,20
2024-04-19 23:50:46,,2304514,20
2024-04-19 23:54:54,,2304520,20
2024-04-19 23:55:24,,2304522,20
2024-04-19 23:56:19,,2304514,25
2024-04-19 23:57:16,,2304514,20
2024-04-19 23:59:15,,2304526,25
2024-04-19 23:59:01,,2304514,25
2024-04-19 23:59:50,,2304514,20
2024-04-20 00:02:27,,2304514,25
2024-04-20 00:03:19,,2304514,20
2024-04-20 00:06:49,,2304524,25
2024-04-20 00:08:41,,2304522,25
2024-04-20 00:08:47,,2304514,25
2024-04-20 00:09:29,,2304522,20
2024-04-20 00:09:42,,2304514,20
2024-04-20 00:10:37,,2304514,25
2024-04-20 00:10:39,,2304522,25
2024-04-20 00:11:47,,2304528,25
2024-04-20 00:12:34,,2304520,25
2024-04-20 00:12:23,,2304529,25
2024-04-20 00:12:45,,2304515,25
2024-04-20 00:12:43,,2304528,20
2024-04-20 00:13:10,,2304529,20
2024-04-20 00:13:36,,2304515,20
2024-04-20 00:13:25,,2304520,20
2024-04-20 00:14:31,,2304515,25
2024-04-20 00:14:56,,2304529,25
2024-04-20 00:15:24,,2304515,20
2024-04-20 00:15:57,,2304528,25
2024-04-20 00:15:43,,2304529,20
2024-04-20 00:16:50,,2304528,20
2024-04-20 00:18:24,,2304515,25
2024-04-20 00:18:19,,2304528,25
2024-04-20 00:19:14,,2304515,20
2024-04-20 00:19:13,,2304528,20
2024-04-20 00:19:48,,2304529,25
2024-04-20 00:20:39,,2304529,20
2024-04-20 00:24:03,,2304522,20
2024-04-20 00:25:39,,2304515,25
2024-04-20 00:25:44,,2304520,25
2024-04-20 00:30:17,,2304521,25
2024-04-20 00:31:07,,2304522,25
2024-04-20 00:34:53,,2304525,25
2024-04-20 00:39:36,,2304528,25
2024-04-20 00:39:28,,2304529,25
2024-04-20 00:40:17,,2304529,20
2024-04-20 00:40:22,,2304528,20
2024-04-20 00:40:48,,2304528,25
2024-04-20 00:40:41,,2304529,25
2024-04-20 00:41:29,,2304529,20
2024-04-20 00:41:45,,2304529,25
2024-04-20 00:42:38,,2304529,20
2024-04-20 00:42:53,,2304529,25
2024-04-20 00:45:11,,2304526,20
2024-04-20 00:45:44,,2304526,25
2024-04-20 00:46:25,,2304526,20
2024-04-20 00:47:20,,2304526,25
2024-04-20 00:48:07,,2304525,20
2024-04-20 00:48:00,,2304526,20
2024-04-20 00:49:18,,2304521,20
2024-04-20 00:51:15,,2304522,20
2024-04-20 00:52:17,,2304523,20
2024-04-20 00:54:07,,2304528,20
2024-04-20 00:56:21,,2304529,20
2024-04-20 00:58:08,,2304523,25
2024-04-20 00:59:08,,2304523,20
2024-04-20 01:00:38,,2304527,20
2024-04-20 01:03:10,,2304523,25
2024-04-20 01:03:54,,2304523,20
2024-04-20 01:05:11,,2304521,25
2024-04-20 01:05:24,,2304527,25
2024-04-20 01:05:50,,2304523,25
2024-04-20 01:06:09,,2304527,20
2024-04-20 01:06:39,,2304523,20
2024-04-20 01:07:08,,2304523,25
2024-04-20 01:08:29,,2304522,25
2024-04-20 01:11:05,,2304527,25
2024-04-20 01:11:26,,2304525,25
2024-04-20 01:11:59,,2304527,20
2024-04-20 01:12:18,,2304525,20
2024-04-20 01:12:19,,2304527,25
2024-04-20 01:12:53,,2304525,25
2024-04-20 01:13:29,,2304526,25
2024-04-20 01:13:44,,2304525,20
2024-04-20 01:14:20,,2304526,20
2024-04-20 01:14:48,,2304526,25
2024-04-20 01:15:46,,2304526,20
2024-04-20 01:16:16,,2304526,25
2024-04-20 01:18:30,,2304528,25
2024-04-20 01:22:37,,2304525,25
